id,name,pred
002015.SZ,协鑫能科,7
002016.SZ,世荣兆业,7
002017.SZ,东信和平,6
002019.SZ,亿帆医药,5
002020.SZ,京新药业,6
002021.SZ,ST中捷,2
002025.SZ,航天电器,6
002026.SZ,山东威达,7
002028.SZ,思源电气,7
002030.SZ,达安基因,1
002032.SZ,苏 泊 尔,7
002035.SZ,华帝股份,7
002038.SZ,双鹭药业,7
002039.SZ,黔源电力,7
002041.SZ,登海种业,7
002043.SZ,兔 宝 宝,7
002045.SZ,国光电器,6
002046.SZ,国机精工,6
002048.SZ,宁波华翔,7
002051.SZ,中工国际,6
002053.SZ,云南能投,6
002057.SZ,中钢天源,7
002058.SZ,威尔泰,2
002063.SZ,远光软件,5
002064.SZ,华峰化学,7
002072.SZ,凯瑞德,6
002075.SZ,沙钢股份,7
002076.SZ,雪莱特,5
002077.SZ,大港股份,7
002079.SZ,苏州固锝,5
002082.SZ,万邦德,7
002084.SZ,海鸥住工,6
002095.SZ,生 意 宝,7
002096.SZ,南岭民爆,7
002098.SZ,浔兴股份,7
002101.SZ,广东鸿图,7
002103.SZ,广博股份,6
002104.SZ,恒宝股份,7
002105.SZ,信隆健康,6
002106.SZ,莱宝高科,6
002107.SZ,沃华医药,6
002108.SZ,沧州明珠,7
002109.SZ,兴化股份,7
002112.SZ,三变科技,6
002113.SZ,ST天润,2
002114.SZ,罗平锌电,1
002116.SZ,中国海诚,7
002117.SZ,东港股份,6
002118.SZ,紫鑫药业,2
002119.SZ,康强电子,6
002124.SZ,天邦食品,2
002125.SZ,湘潭电化,7
002128.SZ,电投能源,7
002134.SZ,天津普林,6
002136.SZ,安 纳 达,6
002137.SZ,实益达,7
002138.SZ,顺络电子,6
002140.SZ,东华科技,7
002141.SZ,贤丰控股,6
002144.SZ,宏达高科,7
002145.SZ,中核钛白,7
002148.SZ,北纬科技,5
002150.SZ,通润装备,7
002152.SZ,广电运通,6
002153.SZ,石基信息,2
002156.SZ,通富微电,6
002158.SZ,汉钟精机,7
002160.SZ,常铝股份,2
002164.SZ,宁波东力,1
002165.SZ,红 宝 丽,1
002166.SZ,莱茵生物,5
002168.SZ,惠程科技,1
002172.SZ,澳洋健康,1
002175.SZ,东方智造,6
002176.SZ,江特电机,7
002178.SZ,延华智能,1
002180.SZ,纳思达,7
002181.SZ,粤 传 媒,5
002184.SZ,海得控制,7
002186.SZ,全 聚 德,1
002187.SZ,广百股份,5
002188.SZ,中天服务,7
002189.SZ,中光学,7
002190.SZ,成飞集成,5
002191.SZ,劲嘉股份,5
002192.SZ,融捷股份,4
002193.SZ,如意集团,7
002194.SZ,武汉凡谷,6
002196.SZ,方正电机,7
002198.SZ,嘉应制药,7
002199.SZ,东晶电子,1
002200.SZ,ST交投,2
002201.SZ,正威新材,7
002204.SZ,大连重工,6
002205.SZ,国统股份,4
002206.SZ,海 利 得,6
002207.SZ,准油股份,6
002209.SZ,达 意 隆,5
002211.SZ,ST宏达,2
002213.SZ,大为股份,5
002216.SZ,三全食品,7
002219.SZ,新里程,5
002222.SZ,福晶科技,5
002223.SZ,鱼跃医疗,7
002227.SZ,奥 特 迅,2
002229.SZ,鸿博股份,5
002230.SZ,科大讯飞,6
002231.SZ,奥维通信,7
002232.SZ,启明信息,5
002233.SZ,塔牌集团,6
002234.SZ,民和股份,1
002235.SZ,安妮股份,2
002236.SZ,大华股份,7
002238.SZ,天威视讯,6
002239.SZ,奥特佳,2
002242.SZ,九阳股份,6
002243.SZ,力合科创,6
002246.SZ,北化股份,6
002247.SZ,聚力文化,6
002248.SZ,华东数控,7
002249.SZ,大洋电机,7
002251.SZ,步 步 高,2
002253.SZ,川大智胜,5
002254.SZ,泰和新材,6
002255.SZ,海陆重工,6
002256.SZ,兆新股份,5
002261.SZ,拓维信息,7
002262.SZ,恩华药业,4
002263.SZ,大东南,7
002264.SZ,新 华 都,7
002265.SZ,西仪股份,7
002268.SZ,电科网安,5
002272.SZ,川润股份,2
002275.SZ,桂林三金,7
002278.SZ,神开股份,7
002280.SZ,联络互动,2
002281.SZ,光迅科技,7
002282.SZ,博深股份,7
002283.SZ,天润工业,6
002285.SZ,世联行,1
002286.SZ,保龄宝,7
002288.SZ,超华科技,7
002289.SZ,宇顺电子,2
002290.SZ,禾盛新材,6
002293.SZ,罗莱生活,6
002294.SZ,信立泰,5
002295.SZ,精艺股份,7
002297.SZ,博云新材,5
002300.SZ,太阳电缆,7
002301.SZ,齐心集团,1
002303.SZ,美盈森,5
002304.SZ,洋河股份,5
002308.SZ,威创股份,2
002313.SZ,*ST日海,1
002315.SZ,焦点科技,6
002316.SZ,亚联发展,4
002317.SZ,众生药业,6
002319.SZ,乐通股份,1
002320.SZ,海峡股份,5
002321.SZ,ST华英,1
002322.SZ,理工能科,7
002323.SZ,雅博股份,5
002324.SZ,普利特,6
002327.SZ,富安娜,6
002328.SZ,新朋股份,7
002330.SZ,得利斯,6
002331.SZ,皖通科技,2
002333.SZ,罗普斯金,7
002334.SZ,英威腾,6
002335.SZ,科华数据,7
002336.SZ,人人乐,1
002337.SZ,赛象科技,7
002338.SZ,奥普光电,5
002339.SZ,积成电子,2
002342.SZ,巨力索具,7
002343.SZ,慈文传媒,2
002346.SZ,柘中股份,7
002348.SZ,高乐股份,2
002349.SZ,精华制药,5
002350.SZ,北京科锐,7
002351.SZ,漫步者,6
002353.SZ,杰瑞股份,7
002355.SZ,兴民智通,2
002356.SZ,赫美集团,7
002357.SZ,富临运业,7
002358.SZ,森源电气,2
002362.SZ,汉王科技,1
002364.SZ,中恒电气,7
002365.SZ,永安药业,6
002366.SZ,*ST海核,2
002367.SZ,康力电梯,6
002369.SZ,卓翼科技,2
002372.SZ,伟星新材,4
002379.SZ,宏创控股,1
002380.SZ,科远智慧,7
002383.SZ,合众思壮,7
002388.SZ,新亚制程,7
002389.SZ,航天彩虹,5
002393.SZ,力生制药,5
002395.SZ,双象股份,6
002396.SZ,星网锐捷,6
002397.SZ,梦洁股份,2
002401.SZ,中远海科,6
002403.SZ,爱仕达,2
002404.SZ,嘉欣丝绸,6
002409.SZ,雅克科技,7
002412.SZ,汉森制药,7
002413.SZ,雷科防务,5
002414.SZ,高德红外,5
002417.SZ,*ST深南,2
002419.SZ,天虹股份,6
002421.SZ,达实智能,5
002423.SZ,中粮资本,7
002424.SZ,贵州百灵,7
002426.SZ,胜利精密,1
002427.SZ,*ST尤夫,1
002428.SZ,云南锗业,5
002432.SZ,九安医疗,1
002435.SZ,长江健康,5
002438.SZ,江苏神通,6
002440.SZ,闰土股份,7
002442.SZ,龙星化工,6
