X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
688128.SH,中国电研,,制造业,20.77802726,0.88,14.01186189,28.44582187,0,0,0,0,0,0,0,0
688129.SH,东来技术,,制造业,30.70758187,0.18,2.545100096,38.27257335,0,0,0,0,0,0,0,0
688130.SH,晶华微,,信息传输、软件和信息技术服务业,50.44948591,0.39,2.645955847,67.61225827,0,0,0,0,0,0,0,0
688131.SH,皓元医药,,科学研究和技术服务业,56.3560309,1.86,9.349733042,52.73252573,35.18256937,1.542794878,64.94505521,2.217439058,0.580690585,1.109398395,0.517358358,0
688132.SH,邦彦技术,,制造业,72.98692889,0.34,3.889714913,67.95859181,0,0,0,0,0,0,0,0
688133.SH,泰坦科技,,科学研究和技术服务业,75.44702291,1.6,5.875768727,21.86966393,0,0,0,0,0,0,0,0
688135.SH,利扬芯片,,制造业,69.22321228,0.23,3.012832284,42.08206478,0,0,0,0,0,0,0,0
688136.SH,科兴制药,,制造业,-119.7798873,-0.45,-4.85581235,76.14847348,42.82983194,1.749164003,39.86867516,2.61657637,1.456105955,2.23060509,-196.2265132,0
688137.SH,近岸蛋白,,科学研究和技术服务业,47.92098705,1.61,7.168419585,89.52219067,0,0,0,0,0,0,0,0
688138.SH,清溢光电,,制造业,58.7164181,0.36,7.749347403,23.6876781,0,0,0,0,0,0,0,0
688139.SH,海尔生物,,制造业,33.08645832,1.89,15.72044733,47.57576622,24.4242378,1.323175541,88.35111742,2.945203078,2.512007798,2.716792447,-27.93271758,0
688141.SH,杰华特,,制造业,116.3019875,0.41,7.838252967,41.83765614,0,0,0,0,0,0,0,0
688143.SH,长盈通,,制造业,48.42206907,1.14,9.708448128,57.52020267,10.83150578,1.121472342,75.74552126,10.49005418,7.173437919,10.08366749,6.000769277,0
688146.SH,N中船,,制造业,0,0.85,18.25949081,40.36036841,19.45776869,1.241584674,61.65457253,4.206453055,1.871118621,3.452091513,7.869147585,0
688147.SH,微导纳米,,制造业,511.0151336,0.1318,3.804990182,36.82131543,0,0,0,0,0,0,0,0
688150.SH,莱特光电,,制造业,56.4443863,0.27,8.457933535,66.08882806,11.69708513,1.132465447,54.10769633,10.28844118,8.892687336,9.67564295,-2.283847033,0
688151.SH,华强科技,,制造业,59.3384789,0.21,1.71922411,28.5452887,18.84787054,1.232253555,56.88139789,7.856609663,6.040078647,7.413534997,-77.38016827,0
688152.SH,麒麟信安,,信息传输、软件和信息技术服务业,63.70744255,3.05,15.18179756,68.28980919,0,0,0,0,0,0,0,0
