X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
17,制造业,20.0446,0.550152756,5.553029823,3.9297,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,41.088
17,制造业,16.6647,0.29,9.5949,23.141,40.814,1.6896,72.6708,1.2224,0.2704,0.6501,978.3534,51.0361
17,制造业,16.6052,0.550152756,5.553029823,35.2596,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
16,制造业,-30.8861,0.550152756,5.553029823,9.6136,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,55.9514
19,交通运输、仓储和邮政业,7.8,0.29,12.7358,27.5042,77.4522,4.435,42.3926,0.5916,0.385,0.4953,-35.6138,52.8056
19,建筑业,7.3566,0.45,8.9871,10.3078,72.3414,3.6155,91.1139,1.1357,0.1183,0.9285,11.3747,50.5976
19,电力、热力、燃气及水生产和供应业,19.1694,0.155298824,3.065568235,11.6417,36.29213529,1.652371765,27.59894941,0.507624706,0.215131765,0.458296471,0.783194048,121.358
19,交通运输、仓储和邮政业,-4.4726,-2.81,-90.857,-42.1573,92.6917,13.6832,33.8205,0.2405,0.1237,0.2129,-139.9226,60.9021
15,制造业,31.9347,0.25,9.75,33.5196,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
18,交通运输、仓储和邮政业,13.2724,0.27,3.8011,15.2642,76.2431,4.2093,46.149,0.4875,0.2924,0.4743,-23.5845,46.4355
18,制造业,-5.2615,-1.1121,-48.0345,3.0984,71.9595,3.5663,82.542,0.9255,0.1699,0.539,,110.738
16,制造业,9.7845,1.0383,17.1259,33.1625,45.0038,1.8183,62.0903,1.8138,1.1285,1.5765,140.8921,49.0538
16,制造业,26.2531,0.550152756,5.553029823,28.0036,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
18,制造业,37.7108,3.3,11.4943,21.9539,35.6204,1.5533,87.3173,2.1807,0.9989,1.6157,-0.8522,50.4958
17,制造业,30.6999,0.550152756,5.553029823,74.4678,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,69.8473
19,金融业,3.383,1.43,8.0921,3.448749091,57.34912091,5.626801818,4.877415455,0.083532727,0.044989091,0.082946364,-18.33613545,50.2454
16,制造业,31.3477,1.26,17.454,45.1797,32.5563,1.4827,60.2773,4.1759,2.3313,3.3132,51.514,37.27498061
14,制造业,17.8865,0.96,7.7684,16.0138,58.449,2.4067,98.1759,1.4365,0.567,1.0211,30.8137,55.8248
