X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
000967.SZ,盈峰环境,18,水利、环境和公共设施管理业,21.4294,0,0,21.6359,0,0,0,0,0,0,0,47.5039
000988.SZ,华工科技,18,制造业,24.2100,0.9000,11.5969,17.7354,50.7929,2.0322,78.7299,1.7110,0.5170,1.3569,19.0517,48.0628
000990.SZ,诚志股份,18,制造业,-165.7427,0.0435,0.2994,14.5991,24.5158,1.3248,80.5765,1.2388,0.3960,1.0612,-85.0144,42.7046
000999.SZ,华润三九,18,制造业,20.6257,2.4800,15.1666,56.2694,35.3554,1.5469,90.4408,1.3823,0.3632,1.0942,18.9850,46.2309
001896.SZ,豫能控股,18,电力、热力、燃气及水生产和供应业,-3.0368,-1.4857,-48.5814,-13.5889,86.8936,7.6299,42.5099,0.6816,0.2690,0.5784,-4.4348,58.8818
001914.SZ,招商积余,18,房地产业,27.0419,0.5597,6.6646,12.9597,47.7342,1.9133,63.6738,1.4494,0.5849,1.2343,25.6560,122.4107
002004.SZ,华邦健康,18,制造业,11.6538,0,0,39.1848,0,0,0,0,0,0,0,47.7648
002008.SZ,大族激光,18,制造业,17.9001,1.1500,9.4055,36.9335,51.6924,2.0701,70.2658,2.0403,0.8296,1.6455,-38.3798,57.1726
002010.SZ,传化智联,18,租赁和商务服务业,7.8015,0,0,9.3660,0,0,0,0,0,0,0,45.4460
002049.SZ,紫光国微,18,制造业,44.1419,3.0978,31.0610,64.0077,36.2299,1.5681,62.6162,3.5240,1.1768,2.8875,33.0858,61.6309
002050.SZ,三花智控,18,制造业,37.7496,0,0,25.6330,0,0,0,0,0,0,0,44.7730
002061.SZ,浙江交科,18,建筑业,7.5928,0.9400,13.9380,8.1156,76.2029,4.2022,88.8938,1.1478,0.2933,1.1102,69.7359,60.0768
002078.SZ,太阳纸业,18,制造业,13.1066,1.0400,13.4336,14.5352,51.7355,2.0719,70.2407,0.7215,0.1370,0.4155,-4.1544,48.2932
002081.SZ,金 螳 螂,18,建筑业,-2.4976,0,0,15.3180,0,0,0,0,0,0,0,72.0844
002091.SZ,江苏国泰,18,批发和零售业,7.4570,1.0300,13.4374,13.2794,0,0,0,0,0,0,0,58.2725
002092.SZ,中泰化学,18,制造业,13.9267,0.2772,2.8015,13.2281,59.0165,2.4400,70.9674,0.7009,0.2411,0.5966,-64.3442,54.6685
002097.SZ,山河智能,18,制造业,-23.5456,0,0,20.6394,0,0,0,0,0,0,0,37.0984
002120.SZ,韵达股份,18,交通运输、仓储和邮政业,28.5707,0,0,8.6252,0,0,0,0,0,0,0,51.3315
002129.SZ,TCL中环,18,制造业,19.4340,2.1212,19.6815,19.5511,56.8788,2.3190,37.0849,1.3827,0.6375,1.1033,59.4777,65.1399
002155.SZ,湖南黄金,18,采矿业,35.6175,0.3600,7.7307,7.5548,19.3113,1.2393,86.4019,1.2024,0.5209,0.9505,18.7456,41.8082
002179.SZ,中航光电,18,制造业,35.5197,1.7249,16.8109,36.1773,41.8385,1.7193,94.9752,2.0735,0.7874,1.6451,36.4696,51.9021
002217.SZ,合力泰,18,制造业,-5.2615,-1.1121,-48.0345,3.0984,71.9595,3.5663,82.5420,0.9255,0.1699,0.5390,"-3,175.8231",110.7380
002221.SZ,东华能源,18,批发和零售业,43.3807,0,0,6.3867,0,0,0,0,0,0,0,78.6372
002237.SZ,恒邦股份,18,制造业,23.7012,0.4300,6.2092,4.0700,58.7759,2.4258,72.1839,1.7108,0.4629,0.6431,9.1552,53.8446
002241.SZ,歌尔股份,18,制造业,12.0372,0.5200,6.1570,13.0537,60.7939,2.5506,91.0537,1.0665,0.3048,0.6604,-58.4167,70.0262
002252.SZ,上海莱士,18,制造业,28.4503,0,0,45.5069,0,0,0,0,0,0,0,57.2054
002267.SZ,陕天然气,18,电力、热力、燃气及水生产和供应业,12.0523,0.5542,9.7237,12.8016,49.3060,1.9726,81.9188,0.3600,0.1992,0.3242,43.5790,35.3623
002302.SZ,西部建设,18,制造业,10.5783,0.4157,5.8836,11.1282,68.6778,3.1926,89.5732,1.3810,0.2263,1.3626,-27.0942,72.1498
002311.SZ,海大集团,18,制造业,52.5508,1.7900,18.2727,8.5197,0,0,0,0,0,0,0,91.6182
002314.SZ,南山控股,18,房地产业,30.4311,0,0,21.8824,0,0,0,0,0,0,0,56.4640
002344.SZ,海宁皮城,18,租赁和商务服务业,20.2781,0.2100,3.3207,40.4865,38.6016,1.6287,69.1590,1.1207,0.6615,0.8608,-7.4058,31.1697
002371.SZ,北方华创,18,制造业,56.5653,4.4612,12.8411,42.0961,0,0,0,0,0,0,0,40.0646
002373.SZ,千方科技,18,信息传输、软件和信息技术服务业,-770.8799,-0.3100,-3.9461,29.1965,35.2923,1.5454,93.3414,1.7622,0.6928,1.3762,-159.0082,-44.4188
002385.SZ,大北农,18,制造业,-42.0510,0,0,10.6046,0,0,0,0,0,0,0,71.4549
002399.SZ,海普瑞,18,制造业,43.6918,0.4955,6.1299,32.5019,40.3886,1.6775,66.3267,2.2220,0.6188,0.9946,206.2288,29.8532
002400.SZ,省广集团,18,租赁和商务服务业,39.6967,0.1200,4.5144,10.1142,47.2085,1.8942,95.1775,1.5684,0.2107,1.5674,11.8256,53.0382
002422.SZ,科伦药业,18,制造业,22.6430,1.2200,11.5421,54.5196,50.5019,2.0203,69.7741,1.3808,0.4303,1.1154,96.6858,54.9395
002430.SZ,杭氧股份,18,制造业,27.4260,1.2500,15.6014,27.6361,53.4300,2.1473,62.1858,1.6533,0.5150,1.3292,0.7148,60.9612
002456.SZ,欧菲光,18,制造业,-2.6159,0,0,1.2868,0,0,0,0,0,0,0,74.8954
002465.SZ,海格通信,18,制造业,28.0603,0.2900,6.3793,36.1491,25.9378,1.3502,85.8250,2.7808,0.9081,2.2978,0.4437,57.5136
002466.SZ,天齐锂业,18,制造业,7.3951,15.5200,78.7671,83.5770,25.0947,1.3350,42.4952,3.4400,1.6493,3.1563,"1,101.0806",-39.9920
